iter	Passed	Remaining
0	1	103
1	2	101
2	3	107
3	4	97
4	5	106
5	6	101
6	7	102
7	8	100
8	9	99
9	11	105
10	13	107
11	14	105
12	15	103
13	16	99
14	17	97
15	18	94
16	18	92
17	20	93
18	21	92
19	22	91
20	23	89
21	25	89
22	26	87
23	27	86
24	28	84
25	29	82
26	30	81
27	31	80
28	32	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	72	30
70	73	29
71	74	28
72	75	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
