iter	Passed	Remaining
0	138	138471
1	139	69695
2	140	46732
3	141	35223
4	142	28294
5	142	23664
6	143	20388
7	144	17913
8	145	15976
9	145	14428
10	146	13161
11	147	12111
12	147	11218
13	148	10456
14	149	9792
15	149	9209
16	150	8692
17	150	8232
18	151	7819
19	151	7447
20	152	7116
21	153	6816
22	153	6541
23	154	6290
24	155	6059
25	155	5842
26	156	5643
27	157	5459
28	158	5290
29	158	5128
30	159	4976
31	159	4835
32	160	4702
33	161	4578
34	161	4459
35	162	4346
36	162	4241
37	163	4140
38	164	4045
39	164	3955
40	165	3873
41	166	3792
42	166	3714
43	167	3643
44	168	3571
45	168	3502
46	169	3437
47	170	3375
48	170	3315
49	171	3256
50	172	3204
51	172	3151
52	173	3099
53	174	3050
54	174	3002
55	175	2956
56	176	2912
57	176	2868
58	177	2826
59	177	2787
60	178	2748
61	179	2711
62	179	2676
63	180	2642
64	181	2608
65	182	2576
66	182	2544
67	183	2515
68	184	2485
69	184	2456
70	185	2428
71	186	2400
72	186	2374
73	187	2347
74	188	2321
75	188	2297
76	189	2271
77	190	2247
78	190	2223
79	191	2200
80	191	2178
81	192	2156
82	192	2131
83	193	2110
84	194	2091
85	194	2071
86	195	2053
87	196	2035
88	197	2017
89	197	1999
90	198	1981
91	198	1964
92	199	1947
93	200	1929
94	200	1913
95	201	1897
96	202	1881
97	202	1866
98	203	1851
99	204	1836
100	204	1821
101	205	1807
102	205	1793
103	206	1779
104	207	1765
105	207	1753
106	208	1740
107	209	1727
108	209	1715
109	210	1703
110	211	1690
111	211	1679
112	212	1668
113	213	1656
114	213	1645
115	214	1633
116	214	1621
117	215	1610
118	216	1599
119	216	1589
120	217	1579
121	217	1568
122	218	1558
123	219	1548
124	219	1538
125	220	1529
126	220	1518
127	221	1509
128	222	1500
129	222	1491
130	223	1481
131	224	1473
132	224	1464
133	225	1457
134	226	1449
135	226	1440
136	227	1433
137	228	1425
138	228	1417
139	229	1409
140	230	1401
141	230	1392
142	231	1385
143	231	1377
144	232	1369
145	232	1362
146	233	1355
